iter	RMSE
0	28.40316303
1	27.58607654
2	26.82958196
3	26.14933177
4	25.46899624
5	24.81928718
6	24.22292077
7	23.62289657
8	23.01740516
9	22.47738532
10	21.96947081
11	21.48577558
12	21.03164928
13	20.6200514
14	20.24112838
15	19.85602479
16	19.49361707
17	19.16651267
18	18.86064488
19	18.56854911
20	18.31971855
21	18.06120691
22	17.80789781
23	17.61709541
24	17.40526339
25	17.20762542
26	17.03262887
27	16.84723739
28	16.67692145
29	16.54126933
30	16.41233923
31	16.2708511
32	16.1688938
33	16.04412674
34	15.91107911
35	15.79215867
36	15.69336427
37	15.59947619
38	15.50599182
39	15.41934107
40	15.33597427
41	15.25521294
42	15.17471392
43	15.08958937
44	15.00627784
45	14.95189601
46	14.89495333
47	14.84845897
48	14.77003907
49	14.69916773
50	14.64475751
51	14.60473488
52	14.54740821
53	14.49595544
54	14.44790012
55	14.40425044
56	14.36249235
57	14.32258611
58	14.27690826
59	14.23101923
60	14.19232536
61	14.15301542
62	14.10916377
63	14.06954838
64	14.02529521
65	13.99019869
66	13.95734355
67	13.92452126
68	13.89336437
69	13.872646
70	13.845372
71	13.82016229
72	13.79546464
73	13.76648783
74	13.74057755
75	13.72611182
76	13.70653942
77	13.65979388
78	13.62955955
79	13.59244398
80	13.56357593
81	13.52356586
82	13.51163266
83	13.48833066
84	13.45857536
85	13.43669878
86	13.40964575
87	13.39646998
88	13.37532199
89	13.35076953
90	13.32626488
91	13.29936245
92	13.28059327
93	13.2567606
94	13.2432719
95	13.21772846
96	13.20505812
97	13.1729788
98	13.15653265
99	13.1483822
100	13.13424888
101	13.12163026
102	13.10848681
103	13.08826233
104	13.05875803
105	13.0368439
106	13.01041418
107	12.98078241
108	12.956483
109	12.93360955
110	12.90882026
111	12.88658644
112	12.86418914
113	12.84915573
114	12.84282113
115	12.83328812
116	12.82834577
117	12.81981301
118	12.80593285
119	12.78832571
120	12.76024655
121	12.74584605
122	12.72243673
123	12.70284701
124	12.6848388
125	12.67028632
126	12.65756154
127	12.64122979
128	12.62192756
129	12.61334636
130	12.59259861
131	12.57643958
132	12.56799328
133	12.56125398
134	12.54316126
135	12.52838124
136	12.51684181
137	12.512106
138	12.50469034
139	12.49573978
140	12.48891687
141	12.47842321
142	12.4707108
143	12.46268152
144	12.44363624
145	12.44042272
146	12.42239844
147	12.39477028
148	12.38633176
149	12.37181051
150	12.35676987
151	12.34945772
152	12.33821178
153	12.32963377
154	12.31724327
155	12.30733021
156	12.30099934
157	12.29515263
158	12.28501207
159	12.27537059
160	12.26862477
161	12.25598207
162	12.24761008
163	12.23501737
164	12.22464454
165	12.21323292
166	12.19578696
167	12.18704679
168	12.17475929
169	12.16852576
170	12.15939739
171	12.1493845
172	12.1470437
173	12.13523537
174	12.12408429
175	12.12010568
176	12.10157321
177	12.09104165
178	12.08437417
179	12.07414441
180	12.0638615
181	12.0569307
182	12.04501165
183	12.03669306
184	12.02758241
185	12.02604195
186	12.01012578
187	12.00045099
188	11.99257094
189	11.9898933
190	11.97115496
191	11.96553032
192	11.9578928
193	11.94975156
194	11.9447547
195	11.93706414
196	11.92999108
197	11.92297642
198	11.91649667
199	11.90988008
200	11.90257587
201	11.88933122
202	11.88385359
203	11.87944753
204	11.87580838
205	11.86882711
206	11.86160096
207	11.84833735
208	11.84298829
209	11.83606796
210	11.82830028
211	11.81941979
212	11.81187048
213	11.80240617
214	11.79596005
215	11.78834736
216	11.78338662
217	11.7787168
218	11.76729937
219	11.749057
220	11.73997662
221	11.72678318
222	11.72075551
223	11.71240589
224	11.70637501
225	11.7022845
226	11.69623322
227	11.6913968
228	11.68692396
229	11.68311841
230	11.67508814
231	11.66549701
232	11.65999656
233	11.65062745
234	11.64993776
235	11.64394577
236	11.63843222
237	11.63187454
238	11.61763355
239	11.60956741
240	11.6038768
241	11.59891091
242	11.59347638
243	11.59045914
244	11.5880059
245	11.58043718
246	11.57261076
247	11.56836336
248	11.56399292
249	11.56191228
250	11.55754812
251	11.55363983
252	11.54436743
253	11.5383024
254	11.53306272
255	11.5263672
256	11.51882953
257	11.51351832
258	11.50831984
259	11.50353186
260	11.49887595
261	11.49406879
262	11.49024273
263	11.48549382
264	11.48106733
265	11.47141574
266	11.45996564
267	11.45560693
268	11.45140767
269	11.44717124
270	11.4386169
271	11.43515069
272	11.43079753
273	11.42677963
274	11.41912582
275	11.40999068
276	11.40499644
277	11.40112199
278	11.39067888
279	11.38690684
280	11.37911523
281	11.37283422
282	11.36482681
283	11.35630483
284	11.35503028
285	11.34876637
286	11.34133314
287	11.33646925
288	11.33334586
289	11.329615
290	11.32346066
291	11.30961259
292	11.30342703
293	11.2984083
294	11.29612403
295	11.28920946
296	11.28660932
297	11.27955923
298	11.27509566
299	11.27180237
